date,delete facebook,facebook privacy,cambridge analytica
2014-12-28,52,8,0
2015-01-04,46,41,0
2015-01-11,41,5,0
2015-01-18,41,4,0
2015-01-25,41,5,0
2015-02-01,42,5,0
2015-02-08,39,5,0
2015-02-15,42,4,0
2015-02-22,39,4,0
2015-03-01,39,4,0
2015-03-08,40,4,0
2015-03-15,40,4,0
2015-03-22,40,4,0
2015-03-29,42,4,0
2015-04-05,41,4,0
2015-04-12,40,4,0
2015-04-19,38,4,0
2015-04-26,40,4,0
2015-05-03,38,4,0
2015-05-10,39,4,0
2015-05-17,40,4,0
2015-05-24,41,4,0
2015-05-31,41,4,0
2015-06-07,45,4,0
2015-06-14,40,4,0
2015-06-21,44,4,0
2015-06-28,45,4,0
2015-07-05,45,4,0
2015-07-12,45,4,0
2015-07-19,46,4,0
2015-07-26,45,4,0
2015-08-02,45,4,0
2015-08-09,41,4,0
2015-08-16,42,4,0
2015-08-23,44,4,0
2015-08-30,44,4,0
2015-09-06,41,4,0
2015-09-13,40,4,0
2015-09-20,39,4,0
2015-09-27,42,100,0
2015-10-04,40,6,0
2015-10-11,38,4,0
2015-10-18,40,4,0
2015-10-25,39,4,0
2015-11-01,40,5,0
2015-11-08,39,4,0
2015-11-15,40,4,0
2015-11-22,39,4,0
2015-11-29,41,4,0
2015-12-06,37,4,0
2015-12-13,41,4,0
2015-12-20,41,3,0
2015-12-27,48,4,0
2016-01-03,39,3,0
2016-01-10,36,3,0
2016-01-17,36,3,0
2016-01-24,36,3,0
2016-01-31,35,3,0
2016-02-07,35,4,0
2016-02-14,37,4,0
2016-02-21,38,4,0
2016-02-28,36,4,0
2016-03-06,36,4,0
2016-03-13,37,3,0
2016-03-20,35,3,0
2016-03-27,36,3,0
2016-04-03,37,3,0
2016-04-10,39,3,0
2016-04-17,37,4,0
2016-04-24,36,4,0
2016-05-01,38,3,0
2016-05-08,37,3,0
2016-05-15,39,3,0
2016-05-22,39,3,0
2016-05-29,40,4,0
2016-06-05,41,3,0
2016-06-12,42,3,0
2016-06-19,40,5,0
2016-06-26,42,21,0
2016-07-03,43,13,0
2016-07-10,41,4,0
2016-07-17,43,3,0
2016-07-24,41,3,0
2016-07-31,40,3,0
2016-08-07,40,3,0
2016-08-14,39,3,0
2016-08-21,41,4,0
2016-08-28,41,5,0
2016-09-04,41,4,0
2016-09-11,40,4,0
2016-09-18,38,4,0
2016-09-25,38,4,0
2016-10-02,38,3,0
2016-10-09,40,5,0
2016-10-16,40,39,0
2016-10-23,38,3,0
2016-10-30,40,3,0
2016-11-06,41,3,1
2016-11-13,39,3,0
2016-11-20,39,3,0
2016-11-27,39,3,0
2016-12-04,38,3,4
2016-12-11,40,3,1
2016-12-18,40,3,0
2016-12-25,41,3,0
2017-01-01,47,4,0
2017-01-08,42,4,0
2017-01-15,41,3,0
2017-01-22,40,3,2
2017-01-29,41,3,3
2017-02-05,39,3,2
2017-02-12,41,4,1
2017-02-19,39,4,1
2017-02-26,38,4,2
2017-03-05,40,4,1
2017-03-12,38,3,1
2017-03-19,38,4,1
2017-03-26,40,4,1
2017-04-02,40,4,1
2017-04-09,40,3,1
2017-04-16,39,4,1
2017-04-23,38,3,1
2017-04-30,40,3,1
2017-05-07,39,3,2
