date,Cambridge_Analytica_views
2016-02-09,31
2016-02-10,32
2016-02-11,19
2016-02-12,18
2016-02-13,24
2016-02-14,18
2016-02-15,20
2016-02-16,20
2016-02-17,24
2016-02-18,23
2016-02-19,19
2016-02-20,25
2016-02-21,17
2016-02-22,21
2016-02-23,28
2016-02-24,18
2016-02-25,20
2016-02-26,38
2016-02-27,12
2016-02-28,6
2016-02-29,8
2016-03-01,10
2016-03-02,8
2016-03-03,11
2016-03-04,8
2016-03-05,16
2016-03-06,15
2016-03-07,29
2016-03-08,19
2016-03-09,24
2016-03-10,19
2016-03-11,25
2016-03-12,8
2016-03-13,17
2016-03-14,19
2016-03-15,25
2016-03-16,16
2016-03-17,16
2016-03-18,7
2016-03-19,8
2016-03-20,15
2016-03-21,14
2016-03-22,20
2016-03-23,10
2016-03-24,21
2016-03-25,10
2016-03-26,10
2016-03-27,14
2016-03-28,18
2016-03-29,22
2016-03-30,23
2016-03-31,14
2016-04-01,10
2016-04-02,7
2016-04-03,13
2016-04-04,17
2016-04-05,17
2016-04-06,19
2016-04-07,16
2016-04-08,14
2016-04-09,15
2016-04-10,14
2016-04-11,18
2016-04-12,20
2016-04-13,11
2016-04-14,13
2016-04-15,10
2016-04-16,9
2016-04-17,12
2016-04-18,11
2016-04-19,23
2016-04-20,26
2016-04-21,17
2016-04-22,6
2016-04-23,6
2016-04-24,10
2016-04-25,12
2016-04-26,46
2016-04-27,54
2016-04-28,27
2016-04-29,6
2016-04-30,11
2016-05-01,8
2016-05-02,10
2016-05-03,15
2016-05-04,22
2016-05-05,10
2016-05-06,14
2016-05-07,12
2016-05-08,2
2016-05-09,14
2016-05-10,9
2016-05-11,14
2016-05-12,9
2016-05-13,9
2016-05-14,5
2016-05-15,5
2016-05-16,15
2016-05-17,18
2016-05-18,12
2016-05-19,17
2016-05-20,10
2016-05-21,8
2016-05-22,11
2016-05-23,16
2016-05-24,7
2016-05-25,10
2016-05-26,13
2016-05-27,11
2016-05-28,8
2016-05-29,13
2016-05-30,11
2016-05-31,14
2016-06-01,21
2016-06-02,17
2016-06-03,15
2016-06-04,8
2016-06-05,1
2016-06-06,18
2016-06-07,16
