date,Facebook_views
2015-07-01,50697
2015-07-02,99060
2015-07-03,45756
2015-07-04,42347
2015-07-05,46149
2015-07-06,46947
2015-07-07,45924
2015-07-08,45403
2015-07-09,47202
2015-07-10,46622
2015-07-11,42098
2015-07-12,41155
2015-07-13,47063
2015-07-14,44508
2015-07-15,44555
2015-07-16,45184
2015-07-17,47313
2015-07-18,46169
2015-07-19,46709
2015-07-20,51389
2015-07-21,50783
2015-07-22,49883
2015-07-23,48612
2015-07-24,47001
2015-07-25,45494
2015-07-26,46464
2015-07-27,46200
2015-07-28,48648
2015-07-29,47416
2015-07-30,45952
2015-07-31,46148
2015-08-01,51577
2015-08-02,52631
2015-08-03,45423
2015-08-04,50060
2015-08-05,48167
2015-08-06,44879
2015-08-07,44333
2015-08-08,42472
2015-08-09,42189
2015-08-10,43020
2015-08-11,51271
2015-08-12,46936
2015-08-13,46183
2015-08-14,45279
2015-08-15,41526
2015-08-16,42563
2015-08-17,45835
2015-08-18,45553
2015-08-19,46662
2015-08-20,44978
2015-08-21,43494
2015-08-22,39311
2015-08-23,40125
2015-08-24,43965
2015-08-25,44555
2015-08-26,45653
2015-08-27,45685
2015-08-28,45557
2015-08-29,40961
2015-08-30,41543
2015-08-31,42973
2015-09-01,43939
2015-09-02,44695
2015-09-03,42249
2015-09-04,40667
2015-09-05,39235
2015-09-06,39375
2015-09-07,40263
2015-09-08,40851
2015-09-09,42367
2015-09-10,48563
2015-09-11,44121
2015-09-12,43383
2015-09-13,44874
2015-09-14,47273
2015-09-15,44869
2015-09-16,45884
2015-09-17,46045
2015-09-18,45882
2015-09-19,42210
2015-09-20,43362
2015-09-21,45667
2015-09-22,44858
2015-09-23,41256
2015-09-24,48627
2015-09-25,41758
2015-09-26,41992
2015-09-27,52379
2015-09-28,82600
2015-09-29,54717
2015-09-30,51071
2015-10-01,46967
2015-10-02,45053
2015-10-03,42883
2015-10-04,41880
2015-10-05,44928
2015-10-06,52538
2015-10-07,50137
2015-10-08,47630
2015-10-09,43259
2015-10-10,43086
2015-10-11,41825
2015-10-12,40012
2015-10-13,38309
2015-10-14,38598
2015-10-15,37548
2015-10-16,37087
2015-10-17,35088
2015-10-18,34901
2015-10-19,39305
2015-10-20,38384
2015-10-21,37078
2015-10-22,37327
2015-10-23,36759
2015-10-24,33136
2015-10-25,34222
2015-10-26,36663
2015-10-27,38567
2015-10-28,40715
2015-10-29,39106
2015-10-30,36108
2015-10-31,32423
2015-11-01,33563
2015-11-02,36251
2015-11-03,36525
2015-11-04,38027
2015-11-05,41357
2015-11-06,40777
2015-11-07,37563
2015-11-08,46417
2015-11-09,39629
2015-11-10,38680
2015-11-11,38524
2015-11-12,39181
2015-11-13,36031
2015-11-14,34630
2015-11-15,36896
2015-11-16,39218
2015-11-17,41351
2015-11-18,43062
2015-11-19,42167
2015-11-20,40602
2015-11-21,40829
2015-11-22,41232
2015-11-23,42239
2015-11-24,41465
2015-11-25,45635
2015-11-26,41829
2015-11-27,39541
2015-11-28,38095
2015-11-29,46466
2015-11-30,60493
2015-12-01,44516
2015-12-02,61846
2015-12-03,221538
2015-12-04,361555
2015-12-05,283933
2015-12-06,273528
2015-12-07,228763
2015-12-08,207684
2015-12-09,225776
2015-12-10,146542
2015-12-11,43606
2015-12-12,39070
2015-12-13,38713
2015-12-14,41960
2015-12-15,40085
2015-12-16,40177
2015-12-17,41947
2015-12-18,41002
2015-12-19,36607
2015-12-20,36156
2015-12-21,40579
2015-12-22,41030
2015-12-23,40951
2015-12-24,37774
2015-12-25,37172
2015-12-26,40142
2015-12-27,40835
2015-12-28,42135
2015-12-29,42022
2015-12-30,43877
2015-12-31,39319
2016-01-01,40365
2016-01-02,41698
2016-01-03,40547
2016-01-04,42545
2016-01-05,44617
2016-01-06,43761
2016-01-07,43644
2016-01-08,46401
2016-01-09,44751
2016-01-10,42049
2016-01-11,42552
2016-01-12,41104
2016-01-13,44796
2016-01-14,42248
2016-01-15,44187
2016-01-16,40684
2016-01-17,54767
2016-01-18,44672
2016-01-19,42046
2016-01-20,42243
2016-01-21,41728
2016-01-22,39327
2016-01-23,35427
2016-01-24,36561
2016-01-25,38488
2016-01-26,37130
2016-01-27,43714
2016-01-28,46621
2016-01-29,44818
2016-01-30,41757
2016-01-31,36989
2016-02-01,40480
2016-02-02,41948
2016-02-03,42504
2016-02-04,73475
2016-02-05,48695
2016-02-06,41803
2016-02-07,38155
2016-02-08,39538
2016-02-09,40149
2016-02-10,42759
2016-02-11,40062
2016-02-12,38843
2016-02-13,38186
2016-02-14,36158
2016-02-15,38416
2016-02-16,37289
2016-02-17,41680
2016-02-18,40820
2016-02-19,40062
2016-02-20,37060
2016-02-21,37954
2016-02-22,37897
2016-02-23,38769
2016-02-24,36426
2016-02-25,39106
2016-02-26,39370
2016-02-27,36362
2016-02-28,40309
2016-02-29,38418
2016-03-01,36208
2016-03-02,38874
2016-03-03,38870
2016-03-04,37944
2016-03-05,40451
2016-03-06,37280
2016-03-07,39522
2016-03-08,41723
2016-03-09,41990
2016-03-10,39442
2016-03-11,39184
2016-03-12,37599
2016-03-13,37687
2016-03-14,38476
2016-03-15,39928
2016-03-16,39821
